time,latitude,longitude,cdp_number_conc,cdp_lwc,cdp_mvd,seed_score,seed_switch,vertical_wind,pops_number_conc
65948.962743,24.788,56.09,0.67623,0.00012,10.2415,0,0,1,100
65948.963743,24.788,56.09,0.4882,0.00015,12.03458,9,1,1,100
65948.964744,24.788,56.09,0.78886,5e-05,5.7528,9,1,1,100
65948.965747,24.788,56.09,48.54943,0.22922,23.03116,9,1,1,100
65948.967743,24.788,56.09,192.82092,0.85309,22.80056,9,1,1,100
65948.968744,24.788,56.09,193.68896,0.90947,22.82657,6,0,10,100
65948.969743,24.788,56.09,30.20675,0.09242,21.025,6,0,1,100
65948.970743,24.788,56.09,4.78268,0.00563,16.798,6,0,1,100
65948.972743,24.788,56.09,55.37288,0.20105,22.31923,9,1,1,100
65948.973745,24.788,56.09,223.55803,1.04328,24.17726,9,1,1,100
65948.974743,24.788,56.09,271.2271,1.32273,24.07594,9,1,1,100
65948.976744,24.788,56.09,293.61942,1.19895,23.58966,6,0,10,100
65948.978745,24.788,56.09,271.27872,1.16491,22.83205,6,0,1,100
65948.979745,24.788,56.09,248.27483,1.1081,23.20495,6,0,1,100
